Gene_name	New_ID	Class	Pathway	NAM_0f	NAM_0f_p	NAM_0f_out	NAM_4f	NAM_4f_p	NAM_4f_out	FL_0f	FL_0f_p	FL_0f_out	FL_4f	FL_4f_p	FL_4f_out	PAC_0f	PAC_0f_p	PAC_0f_out	PAC_4f	PAC_4f_p	PAC_4f_out	ATL_0f	ATL_0f_p	ATL_0f_out	ATL_4f	ATL_4f_p	ATL_4f_out
BGRP-like_4	DPOGS212941	Recognition	BGRP	-1.742112	0.295329768270945	0	-1.926825	0.0719429590017825	0	-1.895241	0.231942959001783	0	-2.133302	0.0518360071301248	0	0.592872	0.66445632798574	0	0.052399	0.304812834224599	0	-2.660657	0.00156862745098039	1	-0.716202	0.212905525846702	0
CLIP-like_1	DPOGS204835	Modulation	CLIP_Serine_protease	-2.417547	0.031301247771836	0	-2.283534	0.0178966131907308	1	-1.792539	0.268877005347594	0	-1.724267	0.152370766488414	0	0.065051	0.541176470588235	0	0.397813	0.400071301247772	0	-2.724609	0.000998217468805704	1	0.059898	0.509590017825312	0
CLIP-like_11	DPOGS204146	Modulation	CLIP_Serine_protease	-1.13002	0.582032085561497	0	-1.167338	0.405204991087344	0	-0.37042	0.790588235294118	0	-1.300242	0.329055258467023	0	-2.076095	0.00463458110516934	1	-0.142876	0.21554367201426	0	2.665187	0.987308377896613	1	-0.202352	0.402352941176471	0
CLIP-like_16	DPOGS208169	Modulation	CLIP_Serine_protease	-2.539693	0.0127629233511586	1	-0.911519	0.54951871657754	0	-2.213746	0.11108734402852	0	-0.666959	0.630944741532977	0	-0.672437	0.201140819964349	0	-0.186587	0.193440285204991	0	-0.263269	0.451550802139037	0	1.900027	0.919001782531194	0
CLIP-like_19	DPOGS211355	Modulation	CLIP_Serine_protease	-2.010717	0.162638146167558	0	-1.812204	0.110374331550802	0	-2.672178	0.0109803921568627	1	-1.55953	0.225811051693405	0	-0.527789	0.236862745098039	0	-0.029122	0.285989304812834	0	-0.318214	0.404349376114082	0	0.744185	0.689411764705882	0
CLIP-like_22	DPOGS214570	Modulation	CLIP_Serine_protease	-1.432692	0.469447415329768	0	-0.79371	0.615329768270945	0	-0.207242	0.84777183600713	0	0.263383	0.913083778966132	0	2.438455	0.984171122994652	1	0.721578	0.502317290552585	0	-0.686249	0.212121212121212	0	-0.781403	0.199786096256685	0
CLIP-like_26	DPOGS206224	Modulation	CLIP_Serine_protease	-2.302527	0.0571836007130125	0	-1.309976	0.331051693404635	0	-2.64334	0.0136898395721925	1	-1.776158	0.136185383244207	0	-0.062847	0.503030303030303	0	-0.388193	0.130980392156863	0	-0.983367	0.166559714795009	0	-1.48937	0.102602495543672	0
CLIP-like_28	DPOGS205206	Modulation	CLIP_Serine_protease	-0.814672	0.690980392156863	0	-1.281453	0.345026737967914	0	-2.589989	0.0213903743315508	1	-1.619153	0.205133689839572	0	-0.922058	0.145026737967914	0	1.173905	0.665668449197861	0	-1.251059	0.135401069518717	0	0.042648	0.504812834224599	0
Toll_like-receptors_5	DPOGS205295	Signalling	Toll	-2.598531	0.00805704099821747	1	-0.800492	0.611764705882353	0	-2.768547	0.00442067736185383	1	0.312287	0.919073083778966	0	-0.973637	0.136541889483066	0	0.875855	0.555008912655972	0	0.333459	0.679572192513369	0	1.189448	0.795294117647059	0
MyD88	DPOGS205936	Signalling	Toll	-0.285923	0.842067736185383	0	-0.6105	0.69475935828877	0	-0.074778	0.887058823529412	0	-0.434745	0.728342245989305	0	0.988373	0.761639928698752	0	2.500155	0.976470588235294	1	-2.205	0.0156862745098039	1	-2.446108	0.0104099821746881	1
Pellino	DPOGS214647	Signalling	Toll	-0.946495	0.647629233511586	0	-1.877504	0.0897682709447415	0	-2.597722	0.0190374331550802	1	-1.369653	0.294331550802139	0	2.538012	0.988306595365419	1	0.833069	0.539893048128342	0	-0.455245	0.308377896613191	0	-1.094171	0.152869875222816	0
Hem	DPOGS208954	Signalling	JNK	-1.42154	0.474367201426025	0	-0.800772	0.611550802139037	0	-1.540542	0.406417112299465	0	-1.337003	0.312513368983957	0	-1.981696	0.00663101604278075	1	0.699664	0.495828877005348	0	-0.619196	0.23301247771836	0	-0.056595	0.479429590017825	0
PIAS	DPOGS214325	Signalling	JAK-STAT	-1.581712	0.36349376114082	0	-1.094323	0.447130124777184	0	-1.403277	0.451194295900178	0	-1.36876	0.29475935828877	0	-1.930435	0.00819964349376114	1	0.870396	0.553083778966132	0	-0.29956	0.421675579322638	0	1.565694	0.862673796791444	0
DOMELESS	DPOGS200349	Signalling	JAK-STAT	-2.787701	0.000998217468805704	1	-0.183305	0.841426024955437	0	-2.67806	0.0103386809269162	1	-0.075365	0.851907308377897	0	-1.244949	0.0979679144385027	0	1.697799	0.83065953654189	0	-0.827109	0.186452762923351	0	0.72864	0.685276292335116	0
Attacin-Like_1	DPOGS213997	Effector	AMP	0.232213	0.942745098039216	0	-0.216799	0.831657754010695	0	2.031918	0.995151515151515	1	-1.003714	0.472014260249554	0	2.064784	0.958288770053476	0	0.824327	0.537040998217469	0	1.830475	0.907807486631016	0	0.521136	0.631016042780749	0
PPO-like_4	DPOGS200017	Effector	PPO	-0.741955	0.71222816399287	0	-1.295832	0.337254901960784	0	1.615819	0.987807486631016	1	-1.189512	0.380748663101604	0	-1.478494	0.0473440285204991	0	-0.416657	0.124848484848485	0	-0.375564	0.355650623885918	0	-2.43218	0.0107664884135472	1
