Gene_name	New_ID	Class	Pathway	FL_0f	FL_0f_p	FL_0f_out	FL_4f	FL_4f_p	FL_4f_out	PAC_0f	PAC_0f_p	PAC_0f_out	PAC_4f	PAC_4f_p	PAC_4f_out	ATL_0f	ATL_0f_p	ATL_0f_out	ATL_4f	ATL_4f_p	ATL_4f_out
BGRP-like_3	DPOGS212940	Recognition	BGRP	0.135066	0.982602495543672	1	0.018219	0.305953654188948	0	0.201225	0.806844919786096	0	0.12196	0.461176470588235	0	0.140875	0.670017825311943	0	0.02798	0.12270944741533	0
Class_B_like_SCR_2	DPOGS203180	Recognition	SCR	0.124541	0.977896613190731	1	0.012746	0.2225311942959	0	0.172724	0.748948306595365	0	0.099751	0.356791443850267	0	0.15212	0.698395721925134	0	0.105991	0.414474153297683	0
Other_SCR_1	DPOGS214397	Recognition	SCR	0.147687	0.985668449197861	1	0.052863	0.813119429590018	0	0.0749	0.44698752228164	0	0.19743	0.739322638146168	0	0.457943	0.971194295900178	0	0.300554	0.89319073083779	0
NIM-like_2	DPOGS210210	Recognition	Nimrod	0.064102	0.873440285204991	0	0.041877	0.705953654188948	0	0.480318	0.98174688057041	1	0.197438	0.739393939393939	0	0.284443	0.885775401069519	0	0.08722	0.336185383244207	0
NIM-like_3	DPOGS210211	Recognition	Nimrod	0.043015	0.713368983957219	0	0.048555	0.779180035650624	0	0.502052	0.984527629233512	1	0.430339	0.972762923351159	0	0.245172	0.84777183600713	0	0.297126	0.88855614973262	0
CLIP-like_15	DPOGS215098	Modulation	CLIP_Serine_protease	0.038676	0.660320855614973	0	0.033711	0.578395721925134	0	0.153477	0.701247771836007	0	0.148435	0.572121212121212	0	0.566125	0.988306595365419	1	0.484448	0.980320855614973	1
SPZ-like_2	DPOGS209810	Signalling	Toll	0.015362	0.287130124777184	0	-0.010753	0.0249554367201426	1	0.025542	0.23572192513369	0	0.030014	0.10445632798574	0	-0.002587	0.0222459893048128	1	0.060826	0.232513368983957	0
MyD88	DPOGS205936	Signalling	Toll	0.141244	0.984028520499109	1	0.101892	0.966844919786096	0	0.266182	0.895401069518717	0	0.16847	0.649483065953654	0	0.352561	0.93397504456328	0	0.241239	0.812762923351159	0
JNK	DPOGS213169	Signalling	JNK	0.155928	0.987736185383244	1	0.263576	0.997005347593583	1	0.060517	0.385953654188948	0	0.148767	0.573832442067736	0	0.023461	0.256755793226381	0	0.030128	0.129126559714795	0
PIAS	DPOGS214325	Signalling	JAK-STAT	-0.004239	0.0526916221033868	0	0.014669	0.251194295900178	0	0.053071	0.358146167557932	0	0.206335	0.763351158645276	0	-0.013492	0.00919786096256684	1	0.075422	0.287557932263815	0
Stat	DPOGS212956	Signalling	JAK-STAT	0.042946	0.71222816399287	0	0.064936	0.883208556149733	0	0.858858	0.999358288770054	1	0.290781	0.901818181818182	0	0.795503	0.998930481283422	1	0.643526	0.995080213903743	1
Attacin-Like_1	DPOGS213997	Effector	AMP	-0.021191	0.0035650623885918	1	0.004867	0.115080213903743	0	0.173797	0.750659536541889	0	0.206779	0.764349376114082	0	-0.024186	0.00149732620320856	1	0.149794	0.583957219251337	0
