"pop" "New_ID" "T1" "T1_outliers" "T2" "T2_outliers"
"NAM" "DPOGS205283" 0.00249554367201426 1 0.5 0
"NAM" "DPOGS209243" 0.0181818181818182 1 0.5 0
"FL" "DPOGS209810" 0.0964705882352941 0 0.0249554367201426 1
"FL" "DPOGS205281" 0.0257397504456328 0 0.0191800356506239 1
"FL" "DPOGS205283" 0.00171122994652406 1 0.333689839572193 0
"FL" "DPOGS205293" 0.908591800356506 0 0.0203921568627451 1
"FL" "DPOGS210260" 0.227308377896613 0 0.976470588235294 1
"FL" "DPOGS209243" 0.0187522281639929 1 0.0537611408199644 0
"FL" "DPOGS213169" 0.335828877005348 0 0.997005347593583 1
"PAC" "DPOGS205936" 0.976470588235294 1 0.649483065953654 0
"PAC" "DPOGS212093" 0.994367201426025 1 0.346524064171123 0
"PAC" "DPOGS214451" 0.00249554367201426 1 0.887344028520499 0
"ATL" "DPOGS205283" 0.987379679144385 1 0.948663101604278 0
"ATL" "DPOGS205293" 0.996292335115865 1 0.792299465240642 0
"ATL" "DPOGS205936" 0.0104099821746881 1 0.812762923351159 0
"ATL" "DPOGS207960" 0.987094474153298 1 0.788163992869875 0
"ATL" "DPOGS203759" 0.147308377896613 0 0.978680926916221 1
"ATL" "DPOGS213169" 0.0175401069518717 1 0.129126559714795 0
"ATL" "DPOGS212956" 0.0825668449197861 0 0.995080213903743 1
