gene.id	total_sites	non-NA_sites
DPOGS204424	44	44
DPOGS204463	241	241
DPOGS204460	146	146
DPOGS204423	366	366
DPOGS204418	130	130
DPOGS204422	119	119
DPOGS204426	124	124
DPOGS204421	39	39
DPOGS204419	36	36
DPOGS204387	106	106
DPOGS204440	228	228
DPOGS204433	233	233
DPOGS204462	32	32
DPOGS204420	190	190
DPOGS204498	91	91
DPOGS204493	54	54
DPOGS204413	611	611
DPOGS204499	86	86
DPOGS204428	67	67
DPOGS204414	306	306
DPOGS204436	33	33
DPOGS204461	180	180
DPOGS204378	136	136
DPOGS204393	135	135
DPOGS204508	116	116
DPOGS204425	17	17
DPOGS204415	166	166
DPOGS204465	77	77
DPOGS204377	149	149
DPOGS204469	42	42
DPOGS204392	78	78
DPOGS204458	341	341
DPOGS204382	187	187
DPOGS204496	71	71
DPOGS204480	283	283
DPOGS204376	141	141
DPOGS204483	171	171
DPOGS204482	249	249
DPOGS204473	77	77
DPOGS204470	912	912
DPOGS204431	192	192
DPOGS204487	192	192
DPOGS204503	247	247
DPOGS204474	42	42
DPOGS204381	462	462
DPOGS204394	44	44
DPOGS204417	45	45
DPOGS204456	239	239
DPOGS204455	191	191
DPOGS204459	173	173
DPOGS204412	176	176
DPOGS204497	378	378
DPOGS204495	100	100
DPOGS204492	91	91
DPOGS204388	235	235
DPOGS204379	101	101
DPOGS204484	44	44
DPOGS204380	104	104
DPOGS204454	73	73
DPOGS204427	62	62
DPOGS204385	316	316
DPOGS204386	157	157
DPOGS204506	73	73
DPOGS204432	1160	1160
DPOGS204435	144	144
DPOGS204434	62	62
DPOGS204472	171	171
DPOGS204486	46	46
DPOGS204437	154	154
DPOGS204464	79	79
DPOGS204442	56	56
DPOGS204501	63	63
DPOGS204479	269	269
DPOGS204439	42	42
DPOGS204384	258	258
DPOGS204416	122	122
DPOGS204494	461	461
DPOGS204443	282	282
DPOGS204411	165	165
DPOGS204391	636	636
DPOGS204389	140	140
DPOGS204400	138	138
DPOGS204488	78	78
DPOGS204429	176	176
DPOGS204481	262	262
DPOGS204410	176	176
DPOGS204457	305	305
DPOGS204478	56	56
DPOGS204467	151	151
DPOGS204468	262	262
DPOGS204466	471	471
DPOGS204430	328	328
DPOGS204390	251	251
DPOGS204485	269	269
DPOGS204438	961	961
DPOGS204399	240	240
DPOGS204441	176	176
DPOGS204453	482	482
DPOGS204451	126	126
DPOGS204507	51	51
DPOGS204452	430	430
DPOGS204504	389	389
DPOGS204395	149	149
DPOGS204502	224	224
DPOGS204398	92	92
DPOGS204375	28	28
DPOGS204477	36	36
DPOGS204446	72	72
DPOGS204476	134	134
DPOGS204500	74	74
DPOGS204471	24	24
DPOGS204505	57	57
DPOGS204404	40	40
DPOGS204383	180	180
DPOGS204444	104	104
DPOGS204409	90	90
DPOGS204450	188	188
DPOGS204447	92	92
DPOGS204402	42	42
DPOGS204401	83	83
DPOGS204406	420	420
DPOGS204449	67	67
DPOGS204396	73	73
DPOGS204475	341	341
DPOGS204490	565	565
DPOGS204403	304	304
DPOGS204489	95	95
DPOGS204491	608	608
DPOGS204448	97	97
DPOGS204405	616	616
DPOGS204407	27	27
DPOGS204445	174	174
DPOGS204408	598	598
DPOGS210949	63	63
DPOGS210947	276	276
DPOGS210946	33	33
DPOGS210992	87	87
DPOGS210948	170	170
DPOGS210974	138	138
DPOGS210959	99	99
DPOGS210990	461	461
DPOGS211006	138	138
DPOGS210957	97	97
DPOGS210960	86	86
DPOGS211027	265	265
DPOGS211022	191	191
DPOGS210989	158	158
DPOGS210991	31	31
DPOGS210972	145	145
DPOGS210956	451	451
DPOGS211026	138	138
DPOGS210971	91	91
DPOGS210988	51	51
DPOGS211007	62	62
DPOGS211008	96	96
DPOGS210945	175	175
