"New_ID"	"Class"	"Pathway"	"Gene"	"stat_value"	"percentile"	"T_std"	"outliers"
"1"	"DPOGS209813"	"Recognition"	"PGRP"	"PGRP-like_2"	-0.750124	0.668805704099822	0.407927556272057	0
"2"	"DPOGS209814"	"Recognition"	"PGRP"	"PGRP-like_6"	-2.096988	0.156934046345811	-1.01083693053819	0
"3"	"DPOGS212963"	"Recognition"	"BGRP"	"BGRP-like_1"	-1.539544	0.406844919786096	-0.423634547383356	0
"4"	"DPOGS215599"	"Recognition"	"BGRP"	"BGRP-like_2"	-2.346597	0.070017825311943	-1.27377096455218	0
"5"	"DPOGS212940"	"Recognition"	"BGRP"	"BGRP-like_3"	-2.117229	0.138467023172906	-1.03215846855355	0
"6"	"DPOGS212941"	"Recognition"	"BGRP"	"BGRP-like_4"	-1.895241	0.231942959001783	-0.798319943729939	0
"7"	"DPOGS212964"	"Recognition"	"BGRP"	"BGRP-like_5"	-2.508415	0.032156862745098	-1.44422739647601	0
"8"	"DPOGS212965"	"Recognition"	"BGRP"	"BGRP-like_6"	-0.337035	0.801996434937611	0.843068745799699	0
"9"	"DPOGS210549"	"Recognition"	"SCR"	"Class_B_like_SCR_1"	-1.033426	0.577682709447415	0.109501867678171	0
"10"	"DPOGS203180"	"Recognition"	"SCR"	"Class_B_like_SCR_2"	0.203789	0.920142602495544	1.41276389305634	0
"11"	"DPOGS202796"	"Recognition"	"SCR"	"Class_B_like_SCR_3"	-1.481827	0.423030303030303	-0.362836404523181	0
"12"	"DPOGS214397"	"Recognition"	"SCR"	"Other_SCR_1"	-1.585159	0.391158645276292	-0.471684641576867	0
"13"	"DPOGS213636"	"Recognition"	"SCR"	"Other_SCR_2"	-1.742343	0.294474153297683	-0.637259693768315	0
"14"	"DPOGS212634"	"Recognition"	"SCR"	"Other_SCR_3"	-2.174833	0.121069518716578	-1.09283757906376	0
"15"	"DPOGS202826"	"Recognition"	"SCR"	"Other_SCR_4"	-2.004038	0.196720142602496	-0.91292492231092	0
"16"	"DPOGS215836"	"Recognition"	"TEP"	"TEP_like"	-1.867607	0.240570409982175	-0.769210740552399	0
"17"	"DPOGS210251"	"Recognition"	"Nimrod"	"NIM-like_1"	-0.482582	0.757718360071301	0.689751918887872	0
