"New_ID"	"Class"	"Pathway"	"Gene"	"stat_value"	"percentile"	"T_std"	"outliers"
"1"	"DPOGS209813"	"Recognition"	"PGRP"	"PGRP-like_2"	2.303049	0.967344028520499	1.96573326299656	0
"2"	"DPOGS209814"	"Recognition"	"PGRP"	"PGRP-like_6"	-0.149808	0.548591800356506	-0.13733138989047	0
"3"	"DPOGS212963"	"Recognition"	"BGRP"	"BGRP-like_1"	-0.271778	0.444491978609626	-0.241907725042756	0
"4"	"DPOGS215599"	"Recognition"	"BGRP"	"BGRP-like_2"	-0.317171	0.405276292335116	-0.280827406780624	0
"5"	"DPOGS212940"	"Recognition"	"BGRP"	"BGRP-like_3"	-1.958336	0.0373618538324421	-1.68795228240743	0
"6"	"DPOGS212941"	"Recognition"	"BGRP"	"BGRP-like_4"	-2.660657	0.00156862745098039	-2.29011803038225	1
"7"	"DPOGS212964"	"Recognition"	"BGRP"	"BGRP-like_5"	-1.987448	0.0365775401069519	-1.71291273390332	0
"8"	"DPOGS212965"	"Recognition"	"BGRP"	"BGRP-like_6"	-0.866996	0.179180035650624	-0.752244013119114	0
"9"	"DPOGS210549"	"Recognition"	"SCR"	"Class_B_like_SCR_1"	0.585089	0.719857397504456	0.492764822083044	0
"10"	"DPOGS203180"	"Recognition"	"SCR"	"Class_B_like_SCR_2"	2.397737	0.973689839572192	2.0469181775075	0
"11"	"DPOGS202796"	"Recognition"	"SCR"	"Class_B_like_SCR_3"	-0.438082	0.316434937611408	-0.384495761782658	0
"12"	"DPOGS214397"	"Recognition"	"SCR"	"Other_SCR_1"	1.911161	0.917575757575758	1.62973087855646	0
"13"	"DPOGS213636"	"Recognition"	"SCR"	"Other_SCR_2"	-0.723448	0.204491978609626	-0.629166832185767	0
"14"	"DPOGS212634"	"Recognition"	"SCR"	"Other_SCR_3"	-1.725645	0.0877718360071301	-1.4884444361918	0
"15"	"DPOGS202826"	"Recognition"	"SCR"	"Other_SCR_4"	-0.726411	0.203565062388592	-0.631707290339872	0
"16"	"DPOGS215836"	"Recognition"	"TEP"	"TEP_like"	1.3126	0.836791443850267	1.11652832264035	0
"17"	"DPOGS210251"	"Recognition"	"Nimrod"	"NIM-like_1"	0.369698	0.687415329768271	0.308089890503262	0
"18"	"DPOGS210210"	"Recognition"	"Nimrod"	"NIM-like_2"	0.968944	0.78795008912656	0.821879761247435	0
"19"	"DPOGS210211"	"Recognition"	"Nimrod"	"NIM-like_3"	2.291756	0.96620320855615	1.95605071357559	0
"20"	"DPOGS204835"	"Modulation"	"CLIP_Serine_protease"	"CLIP-like_1"	-2.724609	0.000998217468805704	-2.34495008568813	1
"21"	"DPOGS205231"	"Modulation"	"CLIP_Serine_protease"	"CLIP-like_2"	0.942049	0.784099821746881	0.798820152049101	0
"22"	"DPOGS206561"	"Modulation"	"CLIP_Serine_protease"	"CLIP-like_3"	-0.129784	0.564634581105169	-0.120162934244907	0
"23"	"DPOGS215180"	"Modulation"	"CLIP_Serine_protease"	"CLIP-like_4"	-1.791859	0.0477005347593583	-1.54521591652117	0
"24"	"DPOGS215181"	"Modulation"	"CLIP_Serine_protease"	"CLIP-like_5"	0.43894	0.698181818181818	0.367457559590862	0
"25"	"DPOGS206562"	"Modulation"	"CLIP_Serine_protease"	"CLIP-like_6"	-0.497463	0.284634581105169	-0.435408669527824	0
"26"	"DPOGS206563"	"Modulation"	"CLIP_Serine_protease"	"CLIP-like_7"	0.579742	0.71921568627451	0.488180336848484	0
"27"	"DPOGS213841"	"Modulation"	"CLIP_Serine_protease"	"CLIP-like_8"	0.993284	0.791515151515152	0.842748729006774	0
"28"	"DPOGS215183"	"Modulation"	"CLIP_Serine_protease"	"CLIP-like_9"	1.908291	0.917219251336898	1.62727015803594	0
