"pop" "New_ID" "T1" "T1_outliers" "T2" "T2_outliers"
"NAM" "DPOGS205295" 0.00805704099821747 1 0.5 0
"NAM" "DPOGS200349" 0.000998217468805704 1 0.5 0
"FL" "DPOGS205295" 0.00442067736185383 1 0.601711229946524 0
"FL" "DPOGS205936" 0.887058823529412 0 0.984028520499109 1
"FL" "DPOGS214647" 0.0190374331550802 1 0.924919786096257 0
"FL" "DPOGS213169" 0.740748663101604 0 0.987736185383244 1
"FL" "DPOGS200349" 0.0103386809269162 1 0.120142602495544 0
"PAC" "DPOGS214647" 0.988306595365419 1 0.876078431372549 0
"PAC" "DPOGS208954" 0.00663101604278075 1 0.16891265597148 0
"PAC" "DPOGS214325" 0.00819964349376114 1 0.358146167557932 0
"PAC" "DPOGS212956" 0.155579322638146 0 0.999358288770054 1
"ATL" "DPOGS209810" 0.0912655971479501 0 0.0222459893048128 1
"ATL" "DPOGS205936" 0.0156862745098039 1 0.93397504456328 0
"ATL" "DPOGS214325" 0.421675579322638 0 0.00919786096256684 1
"ATL" "DPOGS212956" 0.134402852049911 0 0.998930481283422 1
